,Date,Open,High,Low,Close,Adj Close,Volume
62,"Apr 20, 2020","1,226.00","1,257.00","1,202.00","1,243.80","1,239.15","16,472,130"
63,"Apr 17, 2020","1,216.00","1,230.00","1,192.65","1,224.00","1,219.42","15,209,621"
64,"Apr 16, 2020","1,149.85","1,187.45","1,145.00","1,168.05","1,163.68","17,123,489"
65,"Apr 15, 2020","1,197.05","1,236.00","1,143.00","1,149.85","1,145.55","16,147,958"
66,"Apr 13, 2020","1,203.95","1,215.00","1,180.00","1,189.15","1,184.70","10,822,858"
67,"Apr 09, 2020","1,214.00","1,232.80","1,193.00","1,219.95","1,215.39","15,101,511"
68,"Apr 08, 2020","1,180.00","1,229.00","1,160.00","1,192.15","1,187.69","22,803,609"
69,"Apr 07, 2020","1,102.10","1,214.00","1,100.00","1,206.10","1,201.59","24,857,792"
70,"Apr 03, 2020","1,134.45","1,134.45","1,056.30","1,077.45","1,073.42","18,911,970"
71,"Apr 01, 2020","1,122.25","1,124.60","1,045.20","1,080.45","1,076.41","19,016,959"
72,"Mar 31, 2020","1,073.95","1,129.80","1,048.00","1,113.75","1,109.58","20,249,183"
73,"Mar 30, 2020","1,040.60","1,074.80","1,020.00","1,030.45","1,026.60","13,820,078"
74,"Mar 27, 2020","1,095.00","1,107.30","1,046.20","1,065.60","1,061.61","19,044,609"
75,"Mar 26, 2020","1,095.80","1,116.90","1,042.35","1,066.20","1,062.21","20,912,841"
76,"Mar 25, 2020",963.80,"1,151.55",963.25,"1,082.25","1,078.20","33,432,712"
77,"Mar 24, 2020",930.00,970.00,895.80,943.40,939.87,"20,908,452"
78,"Mar 23, 2020",916.20,950.00,875.65,884.05,880.74,"18,593,390"
79,"Mar 20, 2020",939.50,"1,034.90",930.00,"1,017.95","1,014.14","28,966,278"
80,"Mar 19, 2020",920.10,967.00,892.20,917.70,914.27,"28,071,848"
81,"Mar 18, 2020","1,025.30","1,035.90",961.00,968.50,964.88,"20,449,241"
82,"Mar 17, 2020","1,047.25","1,060.00","1,003.20","1,008.00","1,004.23","20,776,373"
83,"Mar 16, 2020","1,060.55","1,079.70","1,005.00","1,015.70","1,011.90","17,592,794"
84,"Mar 13, 2020",998.00,"1,140.00",942.40,"1,105.30","1,101.17","33,509,107"
85,"Mar 12, 2020","1,085.00","1,101.00","1,048.70","1,063.00","1,059.02","25,587,823"
86,"Mar 11, 2020","1,108.00","1,178.45","1,108.00","1,153.55","1,149.23","27,237,321"
87,"Mar 09, 2020","1,240.05","1,241.00","1,095.00","1,114.15","1,109.98","40,316,138"
88,"Mar 06, 2020","1,270.00","1,288.15","1,241.10","1,271.00","1,266.25","15,422,068"
89,"Mar 05, 2020","1,352.20","1,357.95","1,306.00","1,311.15","1,306.25","13,948,324"
90,"Mar 04, 2020","1,352.00","1,353.80","1,307.90","1,339.70","1,334.69","10,105,782"
91,"Mar 03, 2020","1,329.70","1,353.90","1,322.00","1,342.85","1,337.83","12,525,809"
92,"Mar 02, 2020","1,355.10","1,369.00","1,301.10","1,316.15","1,311.23","13,486,634"
93,"Feb 28, 2020","1,354.90","1,357.00","1,325.00","1,328.65","1,323.68","17,973,847"
94,"Feb 27, 2020","1,388.00","1,393.80","1,369.00","1,386.25","1,381.06","11,454,300"
